"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.00085378,0.00061473,-0.003,0.00085378,0.00061473,-0.003,0.71155,0.00085079,0.00061051,-0.003,432.35,337.66,0,0,0,0,6.2076e+06,3.3019e+06,-6.4475e-06,0.020753,1.467,0,7.0103e+07,72294,13.948,0.74445,1.9325e-08,-1.8045e-08,-2.905e+06,30.564,43.205,6.0822e-14,0.014952,2.5182
0.00094137,0.0007352,-0.003,0.00094137,0.0007352,-0.003,0.69741,0.00093767,0.00073046,-0.003,431.11,338.49,0,0,0,0,3.6051e+06,3.5569e+06,-7.9299e-06,0.020823,1.0372,0,6.9425e+07,73217,13.948,0.75174,-9.4995e-08,7.1246e-08,-2.9562e+06,32.027,43.282,-1.972e-14,0.017073,2.8402
0.0010436,0.00087494,-0.003,0.0010436,0.00087494,-0.003,0.68648,0.0010393,0.00086938,-0.003,428.3,339.07,0,0,0,0,3.1574e+06,2.7672e+06,5.6007e-06,0.020698,0.79095,0,6.8903e+07,73928,13.948,0.75763,-1.5879e-07,1.1618e-07,-3.0077e+06,32.853,43.792,9.8137e-16,0.01954,2.9737
0.0011626,0.0010372,-0.003,0.0011626,0.0010372,-0.003,0.674,0.0011579,0.0010305,-0.003,423.7,339.61,0,0,0,0,4.0898e+06,3.4748e+06,1.496e-05,0.020916,0.75735,0,6.8262e+07,74737,13.948,0.76492,-8.7544e-08,6.3796e-08,-3.2994e+06,35.589,48.354,4.4481e-15,0.022407,2.8622
0.0013015,0.0012254,-0.003,0.0013015,0.0012254,-0.003,0.65108,0.0012952,0.0012182,-0.003,422.1,340.37,0,0,0,0,3.8698e+06,5.4566e+06,4.8238e-06,0.021333,0.85904,0,6.708e+07,76211,13.948,0.77845,1.0664e-07,-8.1491e-08,-3.5548e+06,38.414,52.087,5.8324e-15,0.025739,2.7135
0.0014657,0.001442,-0.003,0.0014657,0.001442,-0.003,0.62071,0.0014575,0.0014345,-0.003,410.48,341.36,0,0,0,0,2.0468e+06,5.882e+06,2.6445e-06,0.021582,0.87413,0,6.5635e+07,78142,13.948,0.79562,1.6822e-07,-1.2387e-07,-2.8164e+06,31.559,40.436,5.1178e-14,0.029616,2.4934
0.0016624,0.0016892,-0.003,0.0016624,0.0016892,-0.003,0.59648,0.0016525,0.0016808,-0.003,425.78,342.29,0,0,0,0,-1.526e+06,5.3393e+06,-6.3702e-07,0.021447,0.72617,0,6.4596e+07,79658,13.948,0.80843,-5.8208e-08,4.4995e-08,-1.0098e+06,12.583,13.468,9.9611e-14,0.034125,1.9176
0.0018955,0.0019651,-0.003,0.0018955,0.0019651,-0.003,0.58824,0.0018872,0.0019606,-0.003,404.46,342.73,0,0,0,0,-3.3978e+06,2.224e+06,-5.1153e-06,0.020912,0.86077,0,6.4263e+07,80168,13.948,0.81268,1.1211e-07,-1.0448e-07,1.6843e+06,-19.236,-23.869,-8.8561e-16,0.039283,1.9418
0.002156,0.0022643,-0.003,0.002156,0.0022643,-0.003,0.6059,0.002155,0.0022584,-0.003,400.3,342.48,0,0,0,0,-2.2792e+06,-1.0947e+06,-4.9425e-06,0.020582,1.2695,0,6.5117e+07,79071,13.948,0.80245,4.8662e-07,-4.1653e-07,4.5531e+06,-53.874,-62.932,-4.8715e-14,0.044949,2.9677
0.0024269,0.00258,-0.003,0.0024269,0.00258,-0.003,0.6198,0.002427,0.0025799,-0.003,398.29,342.26,0,0,0,0,1.3731e+05,1945.5,-3.8808e-06,0.020323,1.0373,0,6.578e+07,78199,13.948,0.79426,2.9826e-07,-2.5239e-07,3.983e+06,-47.364,-54.91,-8.2568e-16,0.050888,3.2279
0.0027033,0.0028974,-0.003,0.0027033,0.0028974,-0.003,0.60416,0.0026985,0.0029017,-0.003,403.71,342.34,0,0,0,0,-7.4387e+05,1.3425e+05,6.3214e-06,0.020281,0.89217,0,6.5048e+07,79180,13.948,0.80385,-3.8021e-07,3.539e-07,3.7078e+06,-44.939,-50.339,7.3076e-14,0.056898,3.3266
0.0029844,0.0032106,-0.003,0.0029844,0.0032106,-0.003,0.62492,0.0029893,0.0032062,-0.003,437.06,341.97,0,0,0,0,-2.759e+06,-1.1211e+06,1.418e-05,0.020288,1.3653,0,6.6146e+07,77876,13.948,0.79151,-5.397e-07,4.9034e-07,6.1049e+06,-73.57,-83.178,4.2825e-14,0.062905,3.9415
0.0032633,0.0035259,-0.003,0.0032633,0.0035259,-0.003,0.6405,0.0032605,0.0035283,-0.003,443.6,341.74,0,0,0,0,-1.1204e+06,2.2634e+05,5.947e-06,0.020214,1.1281,0,6.6835e+07,76887,13.948,0.78219,3.3807e-07,-3.1618e-07,5.0604e+06,-60.96,-69.038,-1.8741e-14,0.068915,3.653
0.0035433,0.0038404,-0.003,0.0035433,0.0038404,-0.003,0.63275,0.003543,0.0038407,-0.003,457.7,341.85,0,0,0,0,-5.9066e+05,3.1681e+05,4.9744e-07,0.020193,0.67659,0,6.6371e+07,77380,13.948,0.78683,5.1921e-07,-4.7078e-07,3.4691e+06,-42.463,-46.782,2.0387e-14,0.074926,3.3052
