"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0.11403,7.6279e-05,-3.1803e-05,-0.003,505.99,353.47,0,0,0,0,-5.3482e+07,8.1494e+07,-1.3351e-05,0.16855,26.535,0,5.4988e+07,1.0041e+05,10.507,0.97641,-2.3283e-08,1.7881e-07,1.2829e+07,-232.22,-15.403,5.4194e-13,0.00074082,7.2753
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,520.01,355.48,0,0,0,0,-1.0066e+07,1.1382e+08,-7.8917e-05,0.25655,17.238,0,5.5817e+07,1.0341e+05,10.507,0.99433,-4.191e-09,4.0978e-08,7.4383e+06,-135.02,-15.06,2.5171e-13,0.00055358,6.7374
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.20703,0.00010434,-3.2571e-05,-0.003,499.32,351.25,0,0,0,0,-6.1331e+07,3.7573e+07,3.6359e-05,0.12467,33.041,0,5.3747e+07,98343,10.507,0.96687,-1.8626e-08,2.3842e-07,1.6516e+07,-296.16,-21.52,3.6192e-13,0.00099083,7.643
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.28978,0.00013239,-3.1689e-05,-0.003,492.89,348.4,0,0,0,0,-8.4244e+07,-1.5102e+07,3.4839e-05,0.10176,38.788,0,5.4792e+07,95587,10.507,0.95173,-9.3132e-08,4.4703e-07,2.079e+07,-369.43,-36.579,1.0389e-12,0.0012586,8.0407
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.36662,0.00016036,-2.9108e-05,-0.003,486.55,345.45,0,0,0,0,-9.7408e+07,-6.3745e+07,-4.217e-05,0.085836,43.82,0,5.6093e+07,92341,10.507,0.93081,-5.9605e-08,2.3842e-07,2.4732e+07,-434.61,-64.049,8.633e-13,0.0015453,8.3089
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.43702,0.00018802,-2.4252e-05,-0.003,480.69,342.8,0,0,0,0,-1.0185e+08,-9.3914e+07,-9.1314e-05,0.073777,47.983,0,5.7693e+07,88866,10.507,0.90421,1.4901e-08,5.9605e-08,2.8047e+07,-486.04,-103.73,-6.687e-13,0.0018514,8.4949
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.50061,0.00021529,-1.758e-05,-0.003,475.02,340.37,0,0,0,0,-9.3095e+07,-1.0994e+08,-4.0889e-05,0.06459,51.659,0,5.9597e+07,85384,10.507,0.87504,4.9174e-07,-1.0133e-06,3.1e+07,-527.43,-151.83,-2.4727e-12,0.0021757,8.594
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.55603,0.00024196,-8.7864e-06,-0.003,469.63,338.37,0,0,0,0,-7.3076e+07,-1.152e+08,9.8348e-05,0.057084,55.126,0,6.1602e+07,82133,10.507,0.84619,1.2219e-06,-2.712e-06,3.3351e+07,-555.2,-203.24,-3.6744e-12,0.002516,8.6161
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.60046,0.00026799,1.7255e-06,-0.003,464.47,336.78,0,0,0,0,-4.927e+07,-1.1154e+08,2.7776e-05,0.050831,58.669,0,6.3467e+07,79411,10.507,0.82156,1.4454e-06,-2.8908e-06,3.5148e+07,-571.51,-251.96,-2.8478e-12,0.00287,8.5746
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.63865,0.00029328,1.3914e-05,-0.003,459.43,335.73,0,0,0,0,-2.4152e+07,-1.0957e+08,-1.0252e-05,0.044625,61.698,0,6.5256e+07,77005,10.507,0.79979,1.0431e-06,-1.8775e-06,3.6049e+07,-572.44,-291.35,-1.6169e-12,0.0032352,8.4984
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0,0.66651,0.0003178,2.7595e-05,-0.003,454.49,335.94,0,0,0,0,-4.9153e+06,-9.3734e+07,4.9114e-05,0.038816,63.406,0,6.6852e+07,75220,10.507,0.78117,1.6242e-06,-2.5034e-06,3.5591e+07,-552.49,-315.56,-1.5068e-12,0.0036096,8.3354
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0,0.68398,0.00034163,4.2456e-05,-0.003,449.8,337.05,0,0,0,0,1.7138e+06,-6.8302e+07,7.0453e-05,0.03449,64.004,0,6.8113e+07,74090,10.507,0.7666,2.3544e-06,-3.5763e-06,3.429e+07,-521.68,-326.66,-7.3384e-13,0.0039906,8.0851
