x,Curve1
0.00122,-3e-06
0.01243,0.00973
0.03328,0.01455
0.0712,0.01934
0.15433,0.02767
0.30953,0.04071
0.42558,0.04896
0.54286,0.05721
0.62212,0.05702
0.71834,0.05191
0.81923,0.03825
0.9152,0.02338
0.98557,0.00857
1.00012,0.00488
1.00119,-0.00122
