x,Curve1
0.00122,-3e-06
0.03165,-0.00252
0.10234,-0.00391
0.22902,-0.01031
0.3509,-0.01305
0.49607,-0.01097
0.65109,-0.00525
0.79504,-0.00316
0.90842,-0.00465
0.99137,-0.00364
1.00122,-3e-06
