x,Curve1
0.05898,1.4614
0.10861,1.39079
0.15728,1.36316
0.20829,1.31711
0.25799,1.25877
0.30786,1.22807
0.34243,1.08991
0.37595,0.77982
0.41156,0.61404
0.44637,0.51579
0.55459,0.44211
0.60341,0.43904
0.68139,0.4114
0.76152,0.33772
0.84283,0.25482
0.94992,0.19649
