x,Curve1
0.04963,0.12895
0.15056,0.26096
0.25237,0.33772
0.31225,0.34693
0.35123,0.33158
0.45216,0.26404
0.5517,0.16886
0.65032,0.12281
0.75039,0.1136
0.84927,0.11053
0.94941,0.1136
