"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.040188,0.047422,-0.003,0.040188,0.047422,-0.003,0.63785,0.040188,0.047422,-0.003,75.005,353.22,0,0,0,0,-1.5575e+05,-1.2016e+05,-1.2457e-06,0.04131,31.661,0,6.9e+07,77056,16.865,0.75825,-1.0236e-05,8.6129e-06,4.0647e+06,-47.627,-56.606,9.3344e-14,0.88805,1.1041
0.040448,0.047731,-0.003,0.040448,0.047731,-0.003,0.63909,0.040448,0.047731,-0.003,75.235,353.17,0,0,0,0,-1.6399e+05,-1.2385e+05,-2.5222e-06,0.041082,31.412,0,6.906e+07,76977,16.865,0.75757,-1.3206e-05,1.1111e-05,4.082e+06,-47.828,-56.849,1.2594e-13,0.89382,0.9576
0.040708,0.048041,-0.003,0.040708,0.048041,-0.003,0.64039,0.040708,0.048041,-0.003,75.464,353.11,0,0,0,0,-1.7285e+05,-1.2807e+05,3.2623e-06,0.040812,31.155,0,6.9123e+07,76894,16.865,0.75687,-7.675e-06,6.4573e-06,4.1016e+06,-48.056,-57.123,7.8785e-14,0.89959,0.73351
0.040969,0.04835,-0.003,0.040969,0.04835,-0.003,0.64174,0.040969,0.04835,-0.003,75.69,353.06,0,0,0,0,-1.8265e+05,-1.3346e+05,2.8996e-06,0.040477,30.885,0,6.9189e+07,76808,16.865,0.75613,-7.5349e-06,6.34e-06,4.1238e+06,-48.315,-57.435,6.923e-14,0.90536,0.41931
0.041229,0.048659,-0.003,0.041229,0.048659,-0.003,0.64317,0.041229,0.048659,-0.003,75.914,353.01,0,0,0,0,-1.9333e+05,-1.4071e+05,2.9211e-06,0.040042,30.602,0,6.9258e+07,76717,16.865,0.75534,-3.1414e-06,2.644e-06,4.149e+06,-48.609,-57.786,1.7243e-14,0.91113,0.46954
0.041489,0.048968,-0.003,0.041489,0.048968,-0.003,0.64468,0.041489,0.048968,-0.003,76.139,352.95,0,0,0,0,-2.0481e+05,-1.5075e+05,-1.7196e-07,0.039432,30.299,0,6.9333e+07,76621,16.865,0.75451,3.6699e-06,-3.0869e-06,4.1775e+06,-48.941,-58.184,-4.792e-14,0.9169,0.83718
0.041749,0.049277,-0.003,0.041749,0.049277,-0.003,0.6463,0.041749,0.049277,-0.003,76.365,352.9,0,0,0,0,-2.1729e+05,-1.6453e+05,-6.9923e-07,0.038627,30.005,0,6.9413e+07,76517,16.865,0.75362,-6.1188e-06,5.1479e-06,4.2097e+06,-49.319,-58.633,6.4288e-14,0.92267,1.0872
0.04201,0.049586,-0.003,0.04201,0.049586,-0.003,0.64804,0.04201,0.049586,-0.003,76.597,352.83,0,0,0,0,-2.3125e+05,-1.8295e+05,5.8444e-06,0.037633,29.757,0,6.9501e+07,76406,16.865,0.75265,-1.1915e-05,1.0024e-05,4.2465e+06,-49.75,-59.145,1.2476e-13,0.92844,1.2957
0.04227,0.049895,-0.003,0.04227,0.049895,-0.003,0.64995,0.04227,0.049895,-0.003,76.838,352.77,0,0,0,0,-2.4705e+05,-2.0629e+05,1.8095e-07,0.03646,29.57,0,6.9597e+07,76284,16.865,0.75159,2.3451e-06,-1.9735e-06,4.2888e+06,-50.247,-59.733,-1.7507e-14,0.93421,1.4794
0.04253,0.050204,-0.003,0.04253,0.050204,-0.003,0.65205,0.04253,0.050204,-0.003,77.09,352.69,0,0,0,0,-2.6572e+05,-2.3439e+05,5.5956e-07,0.035208,29.461,0,6.9705e+07,76149,16.865,0.75043,1.1949e-06,-1.0058e-06,4.3375e+06,-50.818,-60.411,-4.9636e-15,0.93998,1.6457
0.04279,0.050513,-0.003,0.04279,0.050513,-0.003,0.65437,0.04279,0.050513,-0.003,77.356,352.61,0,0,0,0,-2.8725e+05,-2.6506e+05,9.6625e-07,0.034072,29.44,0,6.9824e+07,76000,16.865,0.74913,-3.4142e-06,2.8722e-06,4.3936e+06,-51.476,-61.192,3.9673e-14,0.94575,1.799
0.043051,0.050822,-0.003,0.043051,0.050822,-0.003,0.65693,0.043051,0.050822,-0.003,77.641,352.52,0,0,0,0,-3.1134e+05,-2.94e+05,8.0573e-06,0.033335,29.503,0,6.9958e+07,75836,16.865,0.7477,-1.3714e-06,1.1534e-06,4.4584e+06,-52.233,-62.095,1.8927e-14,0.95152,1.9429
0.043308,0.051128,-0.003,0.043308,0.051128,-0.003,0.65969,0.043311,0.051131,-0.003,77.926,352.43,0,0,0,0,-3.3981e+05,-3.2106e+05,2.7977e-06,0.03301,29.635,0,7.0103e+07,75659,16.865,0.74615,2.6939e-06,-2.2668e-06,4.5339e+06,-53.114,-63.15,-2.2622e-14,0.95722,2.0767
0.043553,0.051418,-0.003,0.043553,0.051418,-0.003,0.66255,0.043558,0.051425,-0.003,78.216,352.34,0,0,0,0,-3.7379e+05,-3.5722e+05,-3.3015e-06,0.032814,29.798,0,7.0257e+07,75475,16.865,0.74454,-4.2864e-06,3.6051e-06,4.6189e+06,-54.107,-64.336,5.7447e-14,0.96265,2.1974
0.043775,0.051683,-0.003,0.043775,0.051683,-0.003,0.66544,0.043783,0.051692,-0.003,78.487,352.25,0,0,0,0,-4.0889e+05,-3.6659e+05,5.3685e-06,0.032636,30.043,0,7.0413e+07,75289,16.865,0.74288,-9.6248e-06,8.0923e-06,4.6974e+06,-55.018,-65.437,1.6393e-13,0.96758,2.3003
0.043969,0.051913,-0.003,0.043969,0.051913,-0.003,0.66798,0.043976,0.051921,-0.003,78.729,352.17,0,0,0,0,-4.764e+05,-3.3492e+05,-4.4283e-06,0.032528,30.553,0,7.0549e+07,75125,16.865,0.74142,-1.1141e-05,9.3738e-06,4.833e+06,-56.596,-67.334,3.1615e-13,0.97189,2.3973
0.044136,0.052111,-0.003,0.044136,0.052111,-0.003,0.67031,0.044142,0.052118,-0.003,78.958,352.07,0,0,0,0,-5.0007e+05,-5.0222e+05,-1.1185e-05,0.032355,30.663,0,7.0678e+07,74975,16.865,0.74015,-7.432e-06,6.2552e-06,5.0537e+06,-59.163,-70.413,2.7753e-13,0.97558,2.4966
