"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,7.6279e-05,-3.1803e-05,-0.003,496.17,355.18,0,0,0,0,-8.9201e+07,6.6904e+07,-1.1325e-06,0.13279,29.377,0,5.3342e+07,1.0386e+05,11.56,1.0072,-1.4435e-08,2.5332e-07,1.7619e+07,-312.25,-4.4766,4.3362e-13,0.00074082,7.2541
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,4.8283e-05,-2.9493e-05,-0.003,511.97,358.07,0,0,0,0,-5.4566e+07,1.1077e+08,5.1558e-05,0.16203,21.027,0,5.353e+07,1.086e+05,11.56,1.0381,3.7253e-09,3.7253e-08,1.348e+07,-226.53,24.862,-7.8927e-14,0.00055358,6.7199
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.00010434,-3.2571e-05,-0.003,487.02,352.91,0,0,0,0,-8.2678e+07,2.907e+07,-1.5765e-05,0.10249,35.163,0,5.2259e+07,1.0156e+05,11.56,0.99498,-2.0023e-08,2.3842e-07,2.038e+07,-364.61,-18.678,4.5113e-13,0.00099083,7.6191
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.22138,0.00013239,-3.1689e-05,-0.003,479.2,349.75,0,0,0,0,-1.1472e+08,-3.184e+07,-1.0729e-06,0.086844,39.788,0,5.3663e+07,97924,11.56,0.97214,-9.4995e-08,4.4703e-07,2.4401e+07,-433.22,-38.734,1.007e-12,0.0012586,8.0142
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.33205,0.00016036,-2.9108e-05,-0.003,472.52,346.5,0,0,0,0,-1.2317e+08,-8.2047e+07,-1.6063e-05,0.075528,43.777,0,5.5343e+07,93877,11.56,0.94364,-7.8231e-08,3.8743e-07,2.8265e+07,-496.29,-72.403,8.1684e-13,0.0015453,8.2803
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.42028,0.00018802,-2.4252e-05,-0.003,466.91,343.27,0,0,0,0,-1.2189e+08,-1.1191e+08,-7.5102e-05,0.066508,47.374,0,5.7219e+07,89732,11.56,0.91175,-1.4901e-08,1.1921e-07,3.1742e+07,-549.89,-117.85,-2.9071e-13,0.0018514,8.4643
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.49655,0.00021529,-1.758e-05,-0.003,461.91,340.28,0,0,0,0,-1.1011e+08,-1.2929e+08,-5.0068e-06,0.059123,50.795,0,5.9419e+07,85615,11.56,0.87774,5.3644e-07,-1.1623e-06,3.4844e+07,-592.79,-171.05,-2.4313e-12,0.0021757,8.5617
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.56255,0.00024196,-8.7864e-06,-0.003,457.59,337.69,0,0,0,0,-8.6771e+07,-1.3606e+08,0.00010622,0.052691,54.185,0,6.1758e+07,81740,11.56,0.84401,1.4156e-06,-2.9802e-06,3.7325e+07,-621.32,-227.69,-5.2729e-12,0.002516,8.5826
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.61505,0.00026799,1.7255e-06,-0.003,453.7,335.57,0,0,0,0,-5.9421e+07,-1.3029e+08,8.0347e-05,0.047243,57.552,0,6.3952e+07,78498,11.56,0.81526,1.6242e-06,-3.0696e-06,3.9215e+07,-637.58,-281.35,-4.5928e-12,0.00287,8.5392
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.66006,0.00029328,1.3914e-05,-0.003,450.06,334.05,0,0,0,0,-2.938e+07,-1.2668e+08,2.1815e-05,0.041668,60.369,0,6.6063e+07,75635,11.56,0.78987,1.1623e-06,-2.0564e-06,4.0192e+07,-638.2,-324.98,-1.977e-12,0.0032352,8.4625
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0.69212,0.0003178,2.7595e-05,-0.003,446.63,334.05,0,0,0,0,-5.7147e+06,-1.0702e+08,5.5552e-05,0.036378,62.058,0,6.7915e+07,73561,11.56,0.76877,1.8477e-06,-2.9504e-06,3.9645e+07,-615.55,-351.41,-8.0139e-13,0.0036096,8.299
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0.71174,0.00034163,4.2456e-05,-0.003,443.47,335.23,0,0,0,0,2.1874e+06,-7.7219e+07,1.8358e-05,0.032336,62.754,0,6.9373e+07,72282,11.56,0.75248,2.6524e-06,-3.9637e-06,3.8127e+07,-580.26,-362.91,-1.5078e-12,0.0039906,8.0462
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0.72541,0.00036494,5.8134e-05,-0.003,440.74,336.41,0,0,0,0,-4.2527e+05,-6.0653e+07,-5.0664e-05,0.029823,62.655,0,7.0586e+07,71386,11.56,0.74026,1.8477e-06,-2.5332e-06,3.6496e+07,-545.6,-365.97,-1.664e-12,0.0043815,7.7904
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0.74269,0.00038914,7.533e-05,-0.003,438.22,337.49,0,0,0,0,-4.9283e+05,-5.5932e+07,4.7922e-05,0.02767,61.772,0,7.2035e+07,70251,11.56,0.72627,1.4901e-06,-1.9372e-06,3.5005e+07,-513.65,-366.63,-8.1249e-13,0.0047979,7.5462
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0.75856,0.00041527,9.5321e-05,-0.003,435.88,338.54,0,0,0,0,-1.3338e+06,-5.3728e+07,2.0981e-05,0.025979,59.979,0,7.3337e+07,69206,11.56,0.71367,-1.8775e-06,2.4736e-06,3.3147e+07,-478.19,-359.9,-1.8052e-12,0.0052637,7.2492
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0.7852,0.00044519,0.00011915,-0.003,433.52,339.68,0,0,0,0,2.9325e+06,-6.7155e+07,1.2755e-05,0.02398,56.73,0,7.5342e+07,67448,11.56,0.69491,-1.4901e-06,2.0862e-06,3.0584e+07,-433.04,-342.37,-6.2693e-13,0.0058033,6.897
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0.81764,0.00047846,0.00014864,-0.003,430.68,341.14,0,0,0,0,1.7793e+07,-7.0219e+07,6.4433e-05,0.021225,51.049,0,7.7877e+07,65307,11.56,0.67135,1.8328e-06,-2.116e-06,2.583e+07,-357.18,-299.14,1.3061e-12,0.0064348,6.2123
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0.83502,0.00051555,0.00018461,-0.003,429.15,342.46,0,0,0,0,3.2253e+07,-4.889e+07,2.9325e-05,0.020034,41.93,0,7.9606e+07,64162,11.56,0.6563,-1.3933e-06,1.3784e-06,1.8501e+07,-248.87,-222.18,-2.263e-12,0.007173,4.9615
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0.83033,0.00055617,0.00022883,-0.003,428.97,342.67,0,0,0,0,4.0424e+07,-2.2985e+07,4.2021e-06,0.01996,28.823,0,7.9455e+07,64471,11.56,0.65717,-2.5481e-06,2.5183e-06,1.0686e+07,-139.63,-132.77,-2.9484e-12,0.0080341,3.2454
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0.8052,0.00060116,0.0002822,-0.003,429.49,343.01,0,0,0,0,3.4686e+07,-2.7279e+06,-2.034e-05,0.019548,15.093,0,7.7679e+07,66128,11.56,0.67161,-7.9349e-07,7.0408e-07,4.4576e+06,-57.778,-56.228,-6.254e-13,0.0090363,1.8363
0.00065384,0.00034818,-0.003,0.00065384,0.00034818,-0.003,0.77923,0.00065206,0.00034539,-0.003,430.95,343.69,0,0,0,0,2.4349e+07,3.229e+06,-1.8097e-05,0.019296,6.4369,0,7.593e+07,67842,11.56,0.68708,-5.3085e-07,4.6194e-07,8.7932e+05,-13.354,-9.5861,-5.9055e-13,0.010201,1.7203
0.00071202,0.00042308,-0.003,0.00071202,0.00042308,-0.003,0.75752,0.00071009,0.00041975,-0.003,434.99,344.28,0,0,0,0,1.6858e+07,2.4395e+06,-1.2964e-06,0.01984,3.3683,0,7.4531e+07,69274,11.56,0.70027,-2.0489e-07,1.7323e-07,-9.3012e+05,7.8815,15.294,-1.5508e-13,0.011555,2.0509
0.00077815,0.00051129,-0.003,0.00077815,0.00051129,-0.003,0.74213,0.00077586,0.00050745,-0.003,439.65,344.7,0,0,0,0,1.0871e+07,7.7234e+05,8.7805e-06,0.020621,2.3978,0,7.3564e+07,70288,11.56,0.70954,5.3784e-08,-5.9954e-08,-2.1645e+06,21.501,33.083,2.7929e-13,0.013126,2.156
0.00085378,0.00061473,-0.003,0.00085378,0.00061473,-0.003,0.73254,0.00085079,0.00061051,-0.003,442.03,345.09,0,0,0,0,7.108e+06,1.0359e+06,1.123e-05,0.021086,1.7751,0,7.2984e+07,70918,11.56,0.71506,4.2608e-08,-3.3411e-08,-3.2084e+06,32.747,48.403,3.8295e-14,0.014952,2.4781
0.00094137,0.0007352,-0.003,0.00094137,0.0007352,-0.003,0.72027,0.00093767,0.00073046,-0.003,441.22,345.89,0,0,0,0,5.5054e+06,4.3704e+06,2.8471e-06,0.021219,1.4833,0,7.2359e+07,71723,11.56,0.72129,-1.3364e-07,1.0012e-07,-4.019e+06,42.075,59.895,-2.7109e-14,0.017073,2.929
0.0010436,0.00087494,-0.003,0.0010436,0.00087494,-0.003,0.697,0.0010393,0.00086938,-0.003,437.38,347.36,0,0,0,0,5.3647e+06,7.1409e+06,-1.844e-07,0.0212,1.3651,0,7.1208e+07,73244,11.56,0.73319,-2.1001e-07,1.5041e-07,-4.3426e+06,46.434,64.001,4.8827e-14,0.01954,3.2147
0.0011626,0.0010372,-0.003,0.0011626,0.0010372,-0.003,0.66741,0.0011579,0.0010305,-0.003,427.35,349.15,0,0,0,0,4.4038e+06,8.0617e+06,1.4069e-05,0.021139,1.2212,0,6.9789e+07,75162,11.56,0.74825,-6.1933e-08,4.6566e-08,-3.929e+06,42.67,57.414,-1.7743e-14,0.022407,3.1525
0.0013015,0.0012254,-0.003,0.0013015,0.0012254,-0.003,0.63466,0.0012952,0.0012182,-0.003,424.86,350.96,0,0,0,0,2.2369e+06,8.4608e+06,1.1194e-05,0.021059,1.0201,0,6.8274e+07,77259,11.56,0.76485,-1.2747e-08,3.7248e-09,-2.7182e+06,30.374,39.088,7.3102e-14,0.025739,2.8075
0.0014657,0.001442,-0.003,0.0014657,0.001442,-0.003,0.60285,0.0014575,0.0014345,-0.003,404.91,352.39,0,0,0,0,-3.4811e+05,7.2716e+06,7.7216e-06,0.020932,0.76988,0,6.6826e+07,79262,11.56,0.78142,5.5705e-08,-4.7614e-08,-1.0912e+06,13.078,15.005,1.3075e-13,0.029616,2.3725
0.0016624,0.0016892,-0.003,0.0016624,0.0016892,-0.003,0.58551,0.0016525,0.0016808,-0.003,409.76,353.12,0,0,0,0,-2.0176e+06,4.1885e+06,1.4217e-06,0.020702,0.73827,0,6.606e+07,80337,11.56,0.79048,-8.8243e-08,7.2294e-08,5.5857e+05,-5.7248,-8.4789,6.7607e-14,0.034125,1.7786
0.0018955,0.0019651,-0.003,0.0018955,0.0019651,-0.003,0.5842,0.0018872,0.0019606,-0.003,390.47,353.16,0,0,0,0,-2.7924e+06,4.8809e+05,-1.7076e-06,0.020519,1.1684,0,6.6002e+07,80417,11.56,0.7913,1.064e-07,-1.0361e-07,3.1505e+06,-36.977,-43.827,-1.9014e-15,0.039283,1.8994
0.002156,0.0022643,-0.003,0.002156,0.0022643,-0.003,0.60577,0.002155,0.0022584,-0.003,386.06,352.6,0,0,0,0,-2.5795e+06,-1.7603e+06,3.8594e-06,0.020454,1.7253,0,6.7036e+07,79079,11.56,0.77954,6.1607e-07,-5.3272e-07,6.0287e+06,-71.572,-83.124,8.9821e-16,0.044949,3.0251
0.0024269,0.00258,-0.003,0.0024269,0.00258,-0.003,0.62464,0.002427,0.0025799,-0.003,380.23,352.37,0,0,0,0,1.7075e+05,-6.5312e+05,-2.4836e-06,0.020287,1.3862,0,6.7983e+07,77894,11.56,0.76853,3.6554e-07,-3.1153e-07,4.9429e+06,-58.837,-68.078,2.96e-14,0.050888,3.3334
0.0027033,0.0028974,-0.003,0.0027033,0.0028974,-0.003,0.6103,0.0026985,0.0029017,-0.003,389.4,352.52,0,0,0,0,-7.3057e+05,-2.8575e+05,-2.4762e-06,0.020282,1.0931,0,6.7308e+07,78796,11.56,0.77688,-4.1816e-07,3.8976e-07,4.2143e+06,-51.121,-57.178,6.9822e-14,0.056898,3.5022
0.0029844,0.0032106,-0.003,0.0029844,0.0032106,-0.003,0.63378,0.0029893,0.0032062,-0.003,429.09,352.05,0,0,0,0,-3.0642e+06,-1.3377e+06,1.9744e-06,0.020327,1.6273,0,6.8601e+07,77314,11.56,0.76333,-5.8953e-07,5.3691e-07,6.6912e+06,-80.67,-91.138,2.9572e-14,0.062905,4.2038
0.0032633,0.0035259,-0.003,0.0032633,0.0035259,-0.003,0.65131,0.0032605,0.0035283,-0.003,441.9,351.93,0,0,0,0,-1.31e+06,2.2301e+05,1.6396e-06,0.020268,1.3612,0,6.9453e+07,76196,11.56,0.75274,3.8045e-07,-3.567e-07,5.5583e+06,-66.961,-75.827,-3.9416e-15,0.068915,3.9158
0.0035433,0.0038404,-0.003,0.0035433,0.0038404,-0.003,0.64324,0.003543,0.0038407,-0.003,464.42,352.29,0,0,0,0,-8.2159e+05,3.022e+05,3.0968e-06,0.020249,0.84815,0,6.8994e+07,76712,11.56,0.75694,5.7789e-07,-5.262e-07,3.8906e+06,-47.597,-52.489,5.2544e-14,0.074926,3.5445
0.0038283,0.0041505,-0.003,0.0038283,0.0041505,-0.003,0.65509,0.0038269,0.0041518,-0.003,461.22,352.08,0,0,0,0,-1.7161e+06,-1.4831e+06,2.4169e-06,0.020231,1.1136,0,6.9643e+07,75954,11.56,0.74983,-4.5821e-07,4.3027e-07,5.44e+06,-67.06,-72.846,4.1293e-14,0.080933,3.9362
0.0041143,0.0044594,-0.003,0.0041143,0.0044594,-0.003,0.67291,0.0041163,0.0044575,-0.003,504.65,351.68,0,0,0,0,-1.4113e+06,-1.865e+06,1.491e-06,0.020226,1.3895,0,7.0642e+07,74807,11.56,0.73945,-4.191e-07,3.9581e-07,6.5049e+06,-80.315,-86.953,2.9918e-14,0.08694,4.1566
0.0043989,0.0047698,-0.003,0.0043989,0.0047698,-0.003,0.68582,0.0043977,0.0047709,-0.003,497.22,351.62,0,0,0,0,-6.9447e+05,-8.8058e+05,2.1281e-06,0.020209,1.1546,0,7.1379e+07,73971,11.56,0.73133,-4.4052e-07,4.0792e-07,5.4762e+06,-67.461,-73.369,1.2567e-14,0.092948,3.8439
0.0046845,0.0050793,-0.003,0.0046845,0.0050793,-0.003,0.68733,0.0046839,0.0050798,-0.003,523.99,351.54,0,0,0,0,-1.3035e+06,-1.0147e+06,-3.9858e-06,0.020203,1.1667,0,7.1472e+07,73872,11.56,0.73044,-7.0268e-07,6.5286e-07,5.7255e+06,-70.823,-76.443,1.7091e-14,0.098955,3.9172
