"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0.30533,7.6279e-05,-3.1803e-05,-0.003,521.53,339.65,0,0,0,0,-1.0161e+08,3.5741e+07,-0.00011897,0.1096,28.122,0,5.5664e+07,94981,11.773,0.96474,-1.2806e-08,3.2783e-07,2.1103e+07,-371.2,3.6774,4.5631e-13,0.00074082,7.0889
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0.1162,4.8283e-05,-2.9493e-05,-0.003,529.05,342.72,0,0,0,0,-8.6514e+07,9.7289e+07,-9.3699e-05,0.12622,20.589,0,5.5427e+07,1.0037e+05,11.773,1.003,-4.6566e-09,2.9802e-08,1.7271e+07,-284.36,47.87,-1.8813e-13,0.00055358,6.5702
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.35263,0.00010434,-3.2571e-05,-0.003,515.41,337.41,0,0,0,0,-8.2588e+07,1.6149e+07,9.5218e-06,0.087739,33.606,0,5.4507e+07,92977,11.773,0.95344,-3.2363e-08,3.2783e-07,2.3469e+07,-419.37,-16.878,6.8825e-13,0.00099083,7.4432
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.42952,0.00013239,-3.1689e-05,-0.003,509.27,334.03,0,0,0,0,-1.1952e+08,-4.2725e+07,3.4556e-05,0.076532,38.003,0,5.6148e+07,89257,11.773,0.9286,-1.0245e-07,5.3644e-07,2.7369e+07,-485.96,-39.859,1.0258e-12,0.0012586,7.828
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.50603,0.00016036,-2.9108e-05,-0.003,503.19,330.73,0,0,0,0,-1.2658e+08,-9.0136e+07,5.4836e-06,0.067919,41.914,0,5.8213e+07,85075,11.773,0.89661,-5.5879e-08,3.8743e-07,3.1006e+07,-544.5,-77.003,5.0411e-13,0.0015453,8.0861
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.57603,0.00018802,-2.4252e-05,-0.003,497.73,327.49,0,0,0,0,-1.2118e+08,-1.1528e+08,1.1921e-07,0.060789,45.568,0,6.0463e+07,80919,11.773,0.86228,2.2352e-08,8.9407e-08,3.4304e+07,-594.47,-125.75,-8.9607e-13,0.0018514,8.2639
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.64042,0.00021529,-1.758e-05,-0.003,492.27,324.54,0,0,0,0,-1.0694e+08,-1.282e+08,3.7074e-05,0.054704,49.126,0,6.304e+07,76892,11.773,0.82681,6.1095e-07,-1.2517e-06,3.7208e+07,-633.26,-181.36,-3.1744e-12,0.0021757,8.3566
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.69731,0.00024196,-8.7864e-06,-0.003,486.48,322.19,0,0,0,0,-8.3698e+07,-1.2655e+08,7.6056e-05,0.049268,52.752,0,6.5778e+07,73224,11.773,0.79191,1.4603e-06,-3.2485e-06,3.9437e+07,-656.67,-239.83,-4.3566e-12,0.002516,8.3732
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.74337,0.00026799,1.7255e-06,-0.003,482.58,320.37,0,0,0,0,-5.5183e+07,-1.173e+08,5.7578e-05,0.044287,56.163,0,6.8269e+07,70206,11.773,0.76317,1.5944e-06,-3.4869e-06,4.1008e+07,-667.46,-293.26,-9.617e-13,0.00287,8.336
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.78432,0.00029328,1.3914e-05,-0.003,479.74,319.18,0,0,0,0,-2.1963e+07,-1.1772e+08,7.1883e-05,0.038898,58.749,0,7.0616e+07,67506,11.773,0.73842,1.1176e-06,-2.2948e-06,4.1578e+07,-661.78,-333.65,5.9644e-13,0.0032352,8.2556
