"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0.26323,7.6279e-05,-3.1803e-05,-0.003,533.46,342.35,0,0,0,0,-5.7621e+07,7.3669e+07,-4.8757e-05,0.15084,26.755,0,5.535e+07,96560,13.95,0.97007,-1.9092e-08,1.7881e-07,1.4419e+07,-258.56,-11.106,4.6592e-13,0.00074082,7.0813
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0.14444,4.8283e-05,-2.9493e-05,-0.003,541.25,344.59,0,0,0,0,-2.509e+07,1.0624e+08,-1.8477e-05,0.20349,18.293,0,5.6026e+07,99859,13.95,0.99089,-3.2596e-09,4.4703e-08,9.7005e+06,-168.41,0.75853,2.6327e-13,0.00055358,6.5657
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.31484,0.00010434,-3.2571e-05,-0.003,526.99,340.22,0,0,0,0,-6.2862e+07,3.2432e+07,-2.2411e-05,0.11504,32.937,0,5.4074e+07,94597,13.95,0.96099,-2.2352e-08,2.3842e-07,1.7509e+07,-313.78,-18.927,4.2969e-13,0.00099083,7.4339
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.38027,0.00013239,-3.1689e-05,-0.003,520.72,337.52,0,0,0,0,-8.9982e+07,-2.0396e+07,-6.3688e-05,0.095429,38.079,0,5.5291e+07,91702,13.95,0.94302,-8.5682e-08,4.4703e-07,2.1387e+07,-379.84,-35.452,9.0414e-13,0.0012586,7.8175
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.4456,0.00016036,-2.9108e-05,-0.003,514.14,334.76,0,0,0,0,-9.9496e+07,-6.5404e+07,-0.00011531,0.081458,42.4,0,5.6759e+07,88414,13.95,0.91965,-4.0978e-08,2.3842e-07,2.5078e+07,-440.41,-64.673,5.2721e-13,0.0015453,8.0744
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.50732,0.00018802,-2.4252e-05,-0.003,508.09,332.15,0,0,0,0,-1.0048e+08,-9.2619e+07,-5.5552e-05,0.070669,46.078,0,5.8443e+07,85000,13.95,0.8923,2.9802e-08,-2.9802e-08,2.8294e+07,-490.14,-105.14,-5.4741e-13,0.0018514,8.2513
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.56495,0.00021529,-1.758e-05,-0.003,502.3,329.76,0,0,0,0,-9.0664e+07,-1.0812e+08,0.00010848,0.062191,49.424,0,6.0424e+07,81594,13.95,0.86279,4.9919e-07,-1.1623e-06,3.1143e+07,-529.75,-153.07,-1.8782e-12,0.0021757,8.343
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.61646,0.00024196,-8.7864e-06,-0.003,496.98,327.77,0,0,0,0,-6.9806e+07,-1.1388e+08,0.00012195,0.055134,52.656,0,6.2498e+07,78409,13.95,0.83375,1.2219e-06,-2.7716e-06,3.3377e+07,-555.65,-203.7,-3.3347e-12,0.002516,8.3588
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.65811,0.00026799,1.7255e-06,-0.003,491.96,326.17,0,0,0,0,-4.5766e+07,-1.1028e+08,4.518e-05,0.049148,55.885,0,6.4397e+07,75760,13.95,0.80937,1.4156e-06,-2.8014e-06,3.505e+07,-570.14,-251.01,-3.0658e-12,0.00287,8.3211
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.69384,0.00029328,1.3914e-05,-0.003,487.21,325.19,0,0,0,0,-2.2138e+07,-1.066e+08,9.5248e-05,0.043088,58.511,0,6.6229e+07,73449,13.95,0.78771,1.0282e-06,-1.8775e-06,3.58e+07,-568.73,-288.86,-1.2788e-12,0.0032352,8.2401
