"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0.27106,7.6279e-05,-3.1803e-05,-0.003,528.2,341.89,0,0,0,0,-7.5233e+07,6.3412e+07,-9.3579e-06,0.13554,28.163,0,5.5362e+07,96282,16.127,0.97,-1.3504e-08,2.0862e-07,1.6366e+07,-290.38,-4.9938,4.2422e-13,0.00074082,7.0681
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0.12047,4.8283e-05,-2.9493e-05,-0.003,529.22,344.37,0,0,0,0,-4.3063e+07,9.8058e+07,5.9068e-05,0.16942,19.843,0,5.569e+07,1.003e+05,16.127,0.99737,-9.3132e-10,7.4506e-08,1.2407e+07,-208.89,21.254,1.1008e-13,0.00055358,6.5528
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.3234,0.00010434,-3.2571e-05,-0.003,524.3,339.88,0,0,0,0,-7.199e+07,2.7922e+07,-9.6917e-05,0.10397,33.861,0,5.4206e+07,94243,16.127,0.95878,-2.1886e-08,2.5332e-07,1.8992e+07,-339.82,-17.781,3.9675e-13,0.00099083,7.4203
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.39334,0.00013239,-3.1689e-05,-0.003,520,337.06,0,0,0,0,-9.9593e+07,-2.6573e+07,-0.00014198,0.087564,38.353,0,5.5586e+07,91074,16.127,0.93801,-8.1956e-08,5.3644e-07,2.2793e+07,-404.64,-36.532,7.1965e-13,0.0012586,7.8035
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.4614,0.00016036,-2.9108e-05,-0.003,515.22,334.18,0,0,0,0,-1.0677e+08,-7.1169e+07,-0.00011098,0.075881,42.165,0,5.7212e+07,87566,16.127,0.91232,-5.5879e-08,3.5763e-07,2.6441e+07,-464.17,-68.083,5.0704e-13,0.0015453,8.0602
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.52507,0.00018802,-2.4252e-05,-0.003,510.54,331.37,0,0,0,0,-1.0551e+08,-9.7736e+07,-4.4942e-05,0.066696,45.582,0,5.9025e+07,83971,16.127,0.8834,-7.4506e-09,0,2.9698e+07,-514.37,-110.66,5.6104e-14,0.0018514,8.237
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.58431,0.00021529,-1.758e-05,-0.003,505.75,328.81,0,0,0,0,-9.4306e+07,-1.1303e+08,5.3406e-05,0.059235,48.822,0,6.1134e+07,80411,16.127,0.85266,5.3644e-07,-1.2219e-06,3.2563e+07,-553.89,-160.24,-2.2146e-12,0.0021757,8.3286
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.6374,0.00024196,-8.7864e-06,-0.003,501.29,326.66,0,0,0,0,-7.281e+07,-1.1808e+08,0.00018704,0.052872,52.041,0,6.3348e+07,77085,16.127,0.82243,1.3113e-06,-2.8908e-06,3.4802e+07,-579.37,-212.46,-4.0887e-12,0.002516,8.3445
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.68039,0.00026799,1.7255e-06,-0.003,496.93,324.92,0,0,0,0,-4.7459e+07,-1.1357e+08,6.9022e-05,0.047353,55.222,0,6.5378e+07,74323,16.127,0.79709,1.4752e-06,-3.01e-06,3.6449e+07,-593.02,-261.02,-2.5059e-12,0.00287,8.3072
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.71739,0.00029328,1.3914e-05,-0.003,492.63,323.84,0,0,0,0,-2.1993e+07,-1.0977e+08,5.0902e-05,0.041613,57.768,0,6.7318e+07,71911,16.127,0.77481,1.0878e-06,-1.9372e-06,3.7148e+07,-590.58,-299.15,-1.8276e-12,0.0032352,8.2262
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0.74359,0.0003178,2.7595e-05,-0.003,488.69,324.2,0,0,0,0,-3.1295e+06,-9.1248e+07,1.0729e-05,0.036371,59.124,0,6.9043e+07,70192,16.127,0.7559,1.7285e-06,-2.712e-06,3.6394e+07,-565.64,-321.43,-1.1519e-12,0.0036096,8.0459
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0.75917,0.00034163,4.2456e-05,-0.003,485.1,325.5,0,0,0,0,3.9147e+06,-6.5386e+07,8.4639e-06,0.032378,59.459,0,7.0375e+07,69166,16.127,0.74147,2.4438e-06,-3.6359e-06,3.4769e+07,-529.67,-330.11,-1.5937e-12,0.0039906,7.7893
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0.7699,0.00036494,5.8134e-05,-0.003,481.53,326.73,0,0,0,0,2.2371e+06,-5.201e+07,-1.3947e-05,0.029745,58.935,0,7.1457e+07,68458,16.127,0.73095,1.6242e-06,-2.414e-06,3.3021e+07,-494.56,-330.01,5.0724e-13,0.0043815,7.5249
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0.78437,0.00038914,7.533e-05,-0.003,478.01,327.91,0,0,0,0,3.0328e+06,-5.0187e+07,-7.7963e-05,0.027481,57.518,0,7.2784e+07,67503,16.127,0.71851,1.2666e-06,-1.967e-06,3.1278e+07,-460.37,-325.82,2.7416e-12,0.0047979,7.2557
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0.79737,0.00041527,9.5321e-05,-0.003,474.39,329.16,0,0,0,0,2.5779e+06,-4.8536e+07,-4.7326e-05,0.025661,55.061,0,7.3989e+07,66645,16.127,0.7071,-1.7732e-06,2.1458e-06,2.9137e+07,-421.82,-314.41,4.7015e-13,0.0052637,6.9435
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0.81878,0.00044519,0.00011915,-0.003,470.75,330.46,0,0,0,0,6.2945e+06,-5.8548e+07,-6.6757e-06,0.023657,51.073,0,7.5771e+07,65232,16.127,0.69065,-1.3411e-06,1.8179e-06,2.6309e+07,-373.79,-292.8,1.6048e-13,0.0058033,6.5624
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0.84379,0.00047846,0.00014864,-0.003,466.8,331.9,0,0,0,0,1.9388e+07,-5.7976e+07,3.4034e-05,0.021267,44.719,0,7.7871e+07,63585,16.127,0.67109,1.6838e-06,-1.8626e-06,2.1621e+07,-299.71,-249.28,1.5636e-13,0.0064348,5.8433
