"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0,7.6279e-05,-3.1803e-05,-0.003,479.93,355.53,0,0,0,0,-5.8235e+07,8.9237e+07,3.9101e-05,0.20586,23.585,0,5.3891e+07,1.0307e+05,14.716,0.99601,-2.7008e-08,2.3097e-07,1.1552e+07,-211.24,-19.522,6.578e-13,0.00074082,7.2623
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,472.85,357.27,0,0,0,0,-1.5702e+07,1.0115e+08,-2.0504e-05,0.45605,12.483,0,5.4612e+07,1.0595e+05,14.716,1.0157,2.794e-09,6.8918e-08,5.2504e+06,-100.83,-28.365,2.5221e-13,0.00055358,6.7265
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.080806,0.00010434,-3.2571e-05,-0.003,482.06,353.28,0,0,0,0,-6.2114e+07,4.1315e+07,-1.2577e-05,0.13702,30.071,0,5.2713e+07,1.0086e+05,14.716,0.9856,-2.2352e-08,2.3842e-07,1.5761e+07,-282.85,-23.28,4.6158e-13,0.00099083,7.6283
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.2146,0.00013239,-3.1689e-05,-0.003,482.07,350.31,0,0,0,0,-8.3222e+07,-1.1824e+07,-1.1615e-05,0.10773,35.876,0,5.3668e+07,98125,14.716,0.97149,-8.5682e-08,4.7684e-07,2.0284e+07,-360.55,-37.14,8.2152e-13,0.0012586,8.0244
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.30924,0.00016036,-2.9108e-05,-0.003,480.85,347.21,0,0,0,0,-9.8061e+07,-6.3871e+07,3.2261e-06,0.089548,41.12,0,5.4883e+07,94824,14.716,0.95121,-5.9605e-08,4.1723e-07,2.4391e+07,-428.73,-63.532,3.862e-13,0.0015453,8.2914
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.38909,0.00018802,-2.4252e-05,-0.003,478.72,344.56,0,0,0,0,-1.0414e+08,-9.6503e+07,-3.8505e-05,0.076325,45.474,0,5.6436e+07,91280,14.716,0.9243,1.1176e-08,1.4901e-07,2.7764e+07,-481.17,-102.55,-8.4646e-13,0.0018514,8.4763
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.45872,0.00021529,-1.758e-05,-0.003,476.74,341.87,0,0,0,0,-9.5559e+07,-1.1341e+08,2.5988e-05,0.066424,49.274,0,5.8264e+07,87711,14.716,0.89503,4.6939e-07,-1.0431e-06,3.0713e+07,-522.46,-150.49,-1.9605e-12,0.0021757,8.5744
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.51795,0.00024196,-8.7864e-06,-0.003,474.03,339.72,0,0,0,0,-7.4779e+07,-1.1932e+08,0.00012982,0.058498,52.794,0,6.019e+07,84387,14.716,0.86607,1.1921e-06,-2.7418e-06,3.3059e+07,-550.25,-201.61,-2.9562e-12,0.002516,8.5958
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.56503,0.00026799,1.7255e-06,-0.003,470.71,338.32,0,0,0,0,-5.1204e+07,-1.15e+08,5.3048e-05,0.051818,56.292,0,6.2056e+07,81589,14.716,0.84025,1.4454e-06,-2.861e-06,3.4876e+07,-566.87,-250.35,-3.1157e-12,0.00287,8.5533
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.60536,0.00029328,1.3914e-05,-0.003,468,337.07,0,0,0,0,-2.6256e+07,-1.1046e+08,-3.9339e-06,0.045283,59.234,0,6.3787e+07,79105,14.716,0.81822,1.058e-06,-1.8477e-06,3.5761e+07,-567.69,-289.46,-2.0605e-12,0.0032352,8.4769
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0,0.63484,0.0003178,2.7595e-05,-0.003,464.97,337.01,0,0,0,0,-6.9493e+06,-9.4953e+07,-1.7047e-05,0.039353,60.896,0,6.5296e+07,77248,14.716,0.7998,1.6987e-06,-2.6226e-06,3.5331e+07,-548.41,-313.46,-1.5391e-12,0.0036096,8.3136
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0,0.65404,0.00034163,4.2456e-05,-0.003,461.94,337.9,0,0,0,0,-4.7548e+05,-7.0968e+07,-3.6955e-05,0.034915,61.487,0,6.654e+07,76021,14.716,0.78475,2.3544e-06,-3.5763e-06,3.4148e+07,-519.35,-325.55,-8.0161e-13,0.0039906,8.0618
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0,0.6677,0.00036494,5.8134e-05,-0.003,459.15,338.86,0,0,0,0,-3.0787e+06,-5.5509e+07,-5.6088e-05,0.032169,61.291,0,6.76e+07,75143,14.716,0.77318,1.5944e-06,-2.3544e-06,3.2898e+07,-491.31,-330.57,3.3327e-13,0.0043815,7.8065
