"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0.18984,7.6279e-05,-3.1803e-05,-0.003,516.95,343.51,0,0,0,0,-7.1083e+07,6.7247e+07,-4.22e-05,0.13673,27.127,0,5.4223e+07,98810,15.009,0.99039,-1.7113e-08,2.0862e-07,1.5986e+07,-284.6,-6.4475,4.5995e-13,0.00074082,7.0874
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,4.8283e-05,-2.9493e-05,-0.003,527.38,346,0,0,0,0,-3.7751e+07,1.0447e+08,3.5763e-06,0.17474,18.898,0,5.4685e+07,1.0269e+05,15.009,1.0155,1.5134e-09,4.4703e-08,1.1741e+07,-199.64,14.327,3.9442e-14,0.00055358,6.5714
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.25888,0.00010434,-3.2571e-05,-0.003,509.68,341.48,0,0,0,0,-7.1832e+07,2.9475e+07,-7.2539e-05,0.10593,32.925,0,5.3075e+07,96711,15.009,0.97927,-2.6077e-08,2.5332e-07,1.8649e+07,-333.82,-17.835,5.0488e-13,0.00099083,7.4402
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.34017,0.00013239,-3.1689e-05,-0.003,503.18,338.66,0,0,0,0,-9.9596e+07,-2.5903e+07,-5.3346e-05,0.089592,37.625,0,5.4391e+07,93528,15.009,0.95872,-8.5682e-08,4.1723e-07,2.2454e+07,-398.64,-36.21,9.5398e-13,0.0012586,7.8239
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.41492,0.00016036,-2.9108e-05,-0.003,496.59,335.8,0,0,0,0,-1.0708e+08,-7.1299e+07,-2.7776e-05,0.077616,41.619,0,5.5937e+07,90004,15.009,0.93325,-4.0978e-08,2.9802e-07,2.6113e+07,-458.46,-67.259,2.9562e-13,0.0015453,8.0809
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.48295,0.00018802,-2.4252e-05,-0.003,490.61,333.01,0,0,0,0,-1.0641e+08,-9.8582e+07,-9.0599e-06,0.068069,45.151,0,5.7667e+07,86380,15.009,0.90435,1.4901e-08,1.1921e-07,2.9375e+07,-508.81,-109.37,-8.231e-13,0.0018514,8.2578
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.54523,0.00021529,-1.758e-05,-0.003,484.92,330.46,0,0,0,0,-9.5469e+07,-1.1444e+08,0.00010395,0.060314,48.454,0,5.9688e+07,82780,15.009,0.87347,4.6939e-07,-1.1325e-06,3.2256e+07,-548.68,-158.65,-1.4451e-12,0.0021757,8.3496
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.60044,0.00024196,-8.7864e-06,-0.003,479.73,328.3,0,0,0,0,-7.3624e+07,-1.2005e+08,0.0002414,0.053683,51.694,0,6.1809e+07,79412,15.009,0.84307,1.2368e-06,-2.8908e-06,3.4515e+07,-574.6,-210.68,-2.8009e-12,0.002516,8.3653
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.64468,0.00026799,1.7255e-06,-0.003,474.92,326.56,0,0,0,0,-4.8529e+07,-1.1553e+08,3.8862e-05,0.048009,54.906,0,6.375e+07,76621,15.009,0.81762,1.4901e-06,-2.9802e-06,3.6204e+07,-588.9,-259.33,-2.9857e-12,0.00287,8.3276
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.68257,0.00029328,1.3914e-05,-0.003,470.35,325.45,0,0,0,0,-2.3058e+07,-1.1191e+08,-4.1723e-05,0.042154,57.513,0,6.5622e+07,74181,15.009,0.79501,1.0878e-06,-2.0564e-06,3.6961e+07,-587.21,-298.24,-7.4912e-13,0.0032352,8.2465
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0.70974,0.0003178,2.7595e-05,-0.003,466.02,325.72,0,0,0,0,-2.8876e+06,-9.3545e+07,2.3365e-05,0.036729,58.927,0,6.7279e+07,72412,15.009,0.77589,1.6838e-06,-2.7418e-06,3.625e+07,-563.14,-320.76,-2.8113e-13,0.0036096,8.0662
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0.72591,0.00034163,4.2456e-05,-0.003,462.05,326.92,0,0,0,0,4.3485e+06,-6.6858e+07,4.065e-05,0.032659,59.328,0,6.8538e+07,71353,15.009,0.76152,2.3842e-06,-3.6359e-06,3.4673e+07,-528.12,-329.45,-6.2021e-13,0.0039906,7.8092
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0.73688,0.00036494,5.8134e-05,-0.003,458.42,328.11,0,0,0,0,2.0342e+06,-5.2927e+07,-2.0325e-05,0.030018,58.892,0,6.9572e+07,70633,15.009,0.75092,1.5944e-06,-2.4438e-06,3.3009e+07,-494.13,-330.22,1.2256e-12,0.0043815,7.5442
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0.75174,0.00038914,7.533e-05,-0.003,454.94,329.2,0,0,0,0,2.7681e+06,-5.0914e+07,-9.4831e-05,0.027719,57.59,0,7.0837e+07,69655,15.009,0.73842,1.2666e-06,-1.8477e-06,3.1359e+07,-461.29,-327.06,1.4694e-12,0.0047979,7.2753
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0.76514,0.00041527,9.5321e-05,-0.003,451.55,330.36,0,0,0,0,2.3481e+06,-4.9531e+07,7.689e-06,0.025843,55.266,0,7.1982e+07,68772,15.009,0.72696,-1.7583e-06,2.1756e-06,2.9303e+07,-424.01,-316.51,-7.1544e-14,0.0052637,6.963
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0.78737,0.00044519,0.00011915,-0.003,447.96,331.63,0,0,0,0,6.3689e+06,-5.9935e+07,6.7174e-05,0.023758,51.427,0,7.3714e+07,67305,15.009,0.71006,-1.3709e-06,1.8626e-06,2.6536e+07,-376.83,-295.57,1.7765e-14,0.0058033,6.5856
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0.81278,0.00047846,0.00014864,-0.003,443.95,333.07,0,0,0,0,1.9701e+07,-5.9739e+07,5.9605e-05,0.021273,45.249,0,7.5724e+07,65628,15.009,0.69025,1.6242e-06,-1.8328e-06,2.1929e+07,-303.69,-253.16,6.0927e-13,0.0064348,5.8733
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0.82318,0.00051555,0.00018461,-0.003,440.24,334.09,0,0,0,0,3.0562e+07,-4.008e+07,5.9783e-05,0.02023,35.962,0,7.6818e+07,64943,15.009,0.67995,-1.2368e-06,1.2219e-06,1.5481e+07,-208.07,-185.96,-1.9373e-12,0.007173,4.6481
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0.81771,0.00055617,0.00022883,-0.003,436.14,334.18,0,0,0,0,3.5143e+07,-1.9577e+07,4.4823e-05,0.019984,23.666,0,7.6557e+07,65303,15.009,0.68189,-2.2165e-06,2.183e-06,8.9061e+06,-116.16,-110.85,-2.456e-12,0.0080341,2.9646
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0.79747,0.00060116,0.0002822,-0.003,431.78,334.65,0,0,0,0,2.9314e+07,-2.3809e+06,-2.4438e-05,0.019511,11.99,0,7.522e+07,66638,15.009,0.69344,-6.7614e-07,6.0908e-07,3.7182e+06,-48.17,-46.913,-6.6085e-13,0.0090363,1.7546
0.00065384,0.00034818,-0.003,0.00065384,0.00034818,-0.003,0.77411,0.00065206,0.00034539,-0.003,433.27,335.52,0,0,0,0,2.04e+07,6.2736e+06,-2.6327e-05,0.019496,5.3327,0,7.3789e+07,68180,15.009,0.70696,-4.8429e-07,4.0699e-07,7.4744e+05,-10.655,-8.6062,-3.3668e-13,0.010201,1.7863
0.00071202,0.00042308,-0.003,0.00071202,0.00042308,-0.003,0.74802,0.00071009,0.00041975,-0.003,431.15,336.72,0,0,0,0,1.4759e+07,9.2695e+06,-1.3532e-05,0.019896,2.9981,0,7.2312e+07,69900,15.009,0.72179,-1.5181e-07,1.3178e-07,-1.3536e+05,1.1679,2.3153,-1.3963e-13,0.011555,2.0948
