"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.044938,0.053089,-0.003,0.044938,0.053089,-0.003,0,0.66866,0.044939,0.053091,-0.003,72.558,354.61,0,0,0,0,1.0363e+07,6.5191e+05,0.00030279,0.02401,16.2,0,7.0696e+07,75081,14.157,0.73669,-1.0699e-05,7.5898e-06,5.2662e+05,-7.3691,-6.7966,-3.1888e-11,0.99364,1.3829
0.044955,0.053126,-0.003,0.044955,0.053126,-0.003,0,0.66556,0.044956,0.053128,-0.003,70.034,355.47,0,0,0,0,9.048e+06,3.1406e+05,9.8884e-05,0.028145,11.654,0,7.0656e+07,75281,14.157,0.73675,1.3968e-06,-7.3278e-07,-3.4095e+05,-0.032399,6.8156,2.539e-12,0.9942,0.81197
0.044968,0.053159,-0.003,0.044968,0.053159,-0.003,0,0.66341,0.044968,0.05316,-0.003,65.288,356.87,0,0,0,0,5.9182e+06,-2.9503e+05,4.0155e-05,0.045896,9.3403,0,7.0808e+07,75420,14.157,0.73505,6.4704e-07,-5.5163e-07,-7.5171e+05,3.1747,13.483,4.9976e-12,0.99468,0.82476
0.044977,0.053187,-0.003,0.044977,0.053187,-0.003,0,0.66204,0.044978,0.053188,-0.003,60.35,357.84,0,0,0,0,2.521e+06,-1.2717e+05,-5.6899e-05,0.065014,8.0539,0,7.0989e+07,75507,14.157,0.73344,-3.2493e-05,9.2825e-06,-9.2499e+05,4.9711,16.11,1.3399e-11,0.99508,1.0974
0.044985,0.053212,-0.003,0.044985,0.053212,-0.003,0,0.66118,0.044986,0.053213,-0.003,56.803,358.05,0,0,0,0,2.3551e+06,7.6335e+05,-0.00015223,0.07692,7.0317,0,7.1078e+07,75563,14.157,0.73329,-1.695e-06,1.3448e-06,-1.0169e+06,5.499,17.45,1.2671e-11,0.99542,1.192
0.044991,0.053235,-0.003,0.044991,0.053235,-0.003,0,0.66055,0.044991,0.053235,-0.003,54.464,357.91,0,0,0,0,1.107e+06,1.4985e+06,-4.2744e-05,0.083907,6.1392,0,7.1056e+07,75604,14.157,0.734,2.3564e-05,-6.9584e-06,-1.0442e+06,4.9793,18.031,1.2087e-11,0.99572,1.2462
0.044996,0.053256,-0.003,0.044996,0.053256,-0.003,0,0.66008,0.044996,0.053256,-0.003,52.888,357.75,0,0,0,0,-7.6654e+05,1.6009e+06,9.9719e-05,0.090188,5.531,0,7.1097e+07,75634,14.157,0.73465,-5.5972e-05,1.0147e-05,-1.04e+06,4.4041,18.096,1.8807e-11,0.996,1.2817
0.045,0.053277,-0.003,0.045,0.053277,-0.003,0,0.65972,0.045,0.053277,-0.003,51.677,357.63,0,0,0,0,-1.5868e+06,1.6031e+06,0.00014855,0.096636,5.158,0,7.1075e+07,75657,14.157,0.73517,-7.8449e-05,1.3949e-05,-1.0239e+06,3.739,17.953,9.2395e-12,0.99627,1.2879
0.045004,0.053299,-0.003,0.045004,0.053299,-0.003,0,0.65937,0.045004,0.053299,-0.003,50.645,357.53,0,0,0,0,-1.6062e+06,1.3776e+06,0.0001705,0.099743,4.9272,0,7.0839e+07,75679,14.157,0.73562,-5.5561e-05,8.4583e-06,-9.8586e+05,3.0654,17.384,2.4501e-13,0.99654,1.2666
0.045007,0.05332,-0.003,0.045007,0.05332,-0.003,0,0.65915,0.045007,0.05332,-0.003,49.721,357.45,0,0,0,0,-1.2279e+06,9.668e+05,0.00016388,0.10041,4.7831,0,7.06e+07,75694,14.157,0.73598,-6.4302e-05,7.7956e-06,-9.4076e+05,2.3075,16.641,-6.0675e-12,0.9968,1.239
0.045009,0.053342,-0.003,0.045009,0.053342,-0.003,0,0.65898,0.045009,0.053342,-0.003,48.874,357.39,0,0,0,0,-1.0354e+06,6.1322e+05,0.00010431,0.099031,4.6815,0,7.0426e+07,75704,14.157,0.73624,-7.0387e-05,5.6929e-06,-8.9497e+05,1.4879,15.843,1.5412e-12,0.99705,1.2135
0.04501,0.053364,-0.003,0.04501,0.053364,-0.003,0,0.65889,0.04501,0.053364,-0.003,48.09,357.34,0,0,0,0,-7.1762e+05,5.5156e+05,-3.1963e-06,0.096365,4.5956,0,7.0585e+07,75710,14.157,0.73642,-3.3149e-05,2.2015e-06,-8.6309e+05,0.55173,15.225,-1.5958e-11,0.9973,1.1975
