X,1.12-PS
0.051167,1.428433
0.101436,1.39483
0.150808,1.388368
0.20018,1.383199
0.251346,1.341842
0.300718,1.319871
0.337522,1.313409
0.373429,1.250081
0.409336,1.073021
0.445242,0.967044
0.550269,0.880452
0.599641,0.881745
0.679533,0.866236
0.760323,0.826171
0.840215,0.775767
0.950628,0.73958
