x,1.12-SS
0.050269,0.671082
0.14991,0.747334
0.250449,0.791276
0.31149,0.796446
0.350987,0.791276
0.451526,0.749919
0.550269,0.696931
0.650808,0.667205
0.749551,0.66462
0.85009,0.662036
0.949731,0.663328
