"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0.12548,7.6279e-05,-3.1803e-05,-0.003,465.36,343.62,0,0,0,0,-9.6619e+07,5.1157e+07,-4.1902e-05,0.1192,27.672,0,5.3431e+07,1.0022e+05,11.125,1.0053,-1.397e-08,3.4273e-07,1.9577e+07,-345.27,-0.039707,5.2944e-13,0.00074082,7.1031
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,4.8283e-05,-2.9493e-05,-0.003,465.62,346.5,0,0,0,0,-7.2879e+07,1.027e+08,2.6524e-05,0.13551,19.947,0,5.3386e+07,1.0536e+05,11.125,1.0411,9.3132e-10,1.3411e-07,1.5654e+07,-259.3,38.729,4.2779e-13,0.00055358,6.5818
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.21567,0.00010434,-3.2571e-05,-0.003,463.44,341.4,0,0,0,0,-8.1863e+07,2.3555e+07,-2.0906e-05,0.094599,33.285,0,5.2311e+07,98094,11.125,0.99375,-2.794e-08,3.5763e-07,2.209e+07,-395,-17.647,5.5883e-13,0.00099083,7.459
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.31983,0.00013239,-3.1689e-05,-0.003,461.52,338.18,0,0,0,0,-1.175e+08,-3.8336e+07,-2.9728e-05,0.08156,37.721,0,5.3785e+07,94391,11.125,0.9697,-1.0617e-07,5.9605e-07,2.5957e+07,-460.93,-38.816,1.0589e-12,0.0012586,7.8452
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.41014,0.00016036,-2.9108e-05,-0.003,459.36,335,0,0,0,0,-1.2514e+08,-8.7131e+07,-2.2411e-05,0.071707,41.563,0,5.5618e+07,90244,11.125,0.93874,-7.8231e-08,3.8743e-07,2.9601e+07,-519.83,-74.197,9.0626e-13,0.0015453,8.1044
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.48792,0.00018802,-2.4252e-05,-0.003,457.1,331.86,0,0,0,0,-1.2072e+08,-1.1326e+08,1.2279e-05,0.063733,45.086,0,5.7608e+07,86102,11.125,0.90533,-7.4506e-09,5.9605e-08,3.2923e+07,-570.54,-121.04,-2.3666e-13,0.0018514,8.2831
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.5572,0.00021529,-1.758e-05,-0.003,454.82,328.98,0,0,0,0,-1.0747e+08,-1.268e+08,5.0664e-05,0.057017,48.481,0,5.9892e+07,82062,11.125,0.87056,5.6624e-07,-1.2815e-06,3.5853e+07,-610.26,-174.93,-2.267e-12,0.0021757,8.3767
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.61812,0.00024196,-8.7864e-06,-0.003,452.56,326.58,0,0,0,0,-8.286e+07,-1.3191e+08,0.00010955,0.051062,51.898,0,6.2308e+07,78305,11.125,0.83633,1.4156e-06,-3.2187e-06,3.815e+07,-635.41,-231.68,-3.7932e-12,0.002516,8.3942
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.66625,0.00026799,1.7255e-06,-0.003,450.41,324.71,0,0,0,0,-5.3453e+07,-1.2686e+08,-3.5167e-05,0.045848,55.21,0,6.4524e+07,75236,11.125,0.80779,1.6093e-06,-3.3081e-06,3.9849e+07,-648.42,-284.88,-2.5796e-12,0.00287,8.3572
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.70755,0.00029328,1.3914e-05,-0.003,448.05,323.5,0,0,0,0,-2.2211e+07,-1.2335e+08,-0.00011802,0.040291,57.841,0,6.6626e+07,72555,11.125,0.78296,1.1772e-06,-2.116e-06,4.0577e+07,-645.28,-326.43,-1.8077e-12,0.0032352,8.2772
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0.73545,0.0003178,2.7595e-05,-0.003,445.54,324.06,0,0,0,0,2.0636e+06,-1.0185e+08,-6.1154e-05,0.035015,59.34,0,6.8457e+07,70727,11.125,0.76246,1.8477e-06,-2.9206e-06,3.9641e+07,-616.46,-349.48,-1.043e-12,0.0036096,8.0987
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0.74995,0.00034163,4.2456e-05,-0.003,443.14,325.86,0,0,0,0,9.7711e+06,-7.0423e+07,-1.7405e-05,0.030947,59.823,0,6.9817e+07,69773,11.125,0.74748,2.6226e-06,-3.9637e-06,3.7659e+07,-574.08,-356.98,-1.0735e-12,0.0039906,7.8429
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0.75988,0.00036494,5.8134e-05,-0.003,441.14,327.56,0,0,0,0,6.5535e+06,-5.6377e+07,4.1723e-07,0.028206,59.377,0,7.0912e+07,69119,11.125,0.73665,1.8477e-06,-2.5332e-06,3.5513e+07,-532.71,-354,-1.6445e-12,0.0043815,7.5792
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0.77529,0.00038914,7.533e-05,-0.003,439.14,329.17,0,0,0,0,7.3866e+06,-5.7712e+07,3.6418e-05,0.025829,57.931,0,7.2345e+07,68102,11.125,0.72294,1.3709e-06,-1.9372e-06,3.3305e+07,-491.62,-345.23,8.8404e-13,0.0047979,7.312
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0.7892,0.00041527,9.5321e-05,-0.003,437.46,330.9,0,0,0,0,5.7211e+06,-5.691e+07,4.8459e-05,0.02391,55.293,0,7.369e+07,67184,11.125,0.71,-1.8924e-06,2.3246e-06,3.056e+07,-444.11,-327.68,1.3772e-13,0.0052637,7.0004
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0.81302,0.00044519,0.00011915,-0.003,435.52,332.63,0,0,0,0,8.5095e+06,-6.6685e+07,-8.6427e-06,0.021915,50.939,0,7.5732e+07,65612,11.125,0.69107,-1.4603e-06,1.9819e-06,2.6959e+07,-384.99,-297.65,1.3206e-14,0.0058033,6.6246
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0.8393,0.00047846,0.00014864,-0.003,433.8,334.13,0,0,0,0,2.4586e+07,-6.1408e+07,-5.2452e-06,0.020029,44.084,0,7.7964e+07,63881,11.125,0.67025,1.6391e-06,-1.9223e-06,2.1415e+07,-298.3,-244.91,1.4854e-12,0.0064348,5.9096
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0.84163,0.00051555,0.00018461,-0.003,435.38,334.93,0,0,0,0,3.889e+07,-3.4052e+07,1.5199e-05,0.019854,34.108,0,7.85e+07,63728,11.125,0.66524,-1.1623e-06,1.1623e-06,1.4518e+07,-195.45,-173.68,-2.0557e-12,0.007173,4.6756
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0.8247,0.00055617,0.00022883,-0.003,433.67,335.12,0,0,0,0,4.0965e+07,-1.5309e+07,-1.3411e-06,0.019619,21.235,0,7.7362e+07,64842,11.125,0.67473,-2.0601e-06,2.0601e-06,7.8644e+06,-103.14,-97.322,-2.6544e-12,0.0080341,2.9884
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0.80444,0.00060116,0.0002822,-0.003,433.04,335.2,0,0,0,0,2.5604e+07,-6.1668e+06,-8.5607e-06,0.018493,9.3504,0,7.5858e+07,66178,11.125,0.68746,-4.8615e-07,4.7125e-07,2.4046e+06,-33.539,-28.302,-9.1819e-13,0.0090363,1.7585
0.00065384,0.00034818,-0.003,0.00065384,0.00034818,-0.003,0.79786,0.00065206,0.00034539,-0.003,449.96,334.33,0,0,0,0,1.3392e+07,-5.7566e+06,-2.1346e-05,0.018644,3.6886,0,7.5171e+07,66613,11.125,0.69382,-1.1807e-07,1.4435e-07,-1.2344e+06,9.536,21.142,-7.059e-13,0.010201,1.7776
0.00071202,0.00042308,-0.003,0.00071202,0.00042308,-0.003,0.79466,0.00071009,0.00041975,-0.003,471.05,333.49,0,0,0,0,1.1547e+07,84953,-1.7159e-05,0.020052,2.5154,0,7.4781e+07,66824,11.125,0.69785,-7.989e-08,8.1491e-08,-3.3845e+06,34.318,51.312,-3.0454e-13,0.011555,2.1137
0.00077815,0.00051129,-0.003,0.00077815,0.00051129,-0.003,0.77111,0.00077586,0.00050745,-0.003,468.67,334.64,0,0,0,0,1.1522e+07,1.3918e+07,3.8953e-06,0.020744,1.9936,0,7.3439e+07,68378,11.125,0.71087,-1.5507e-07,1.085e-07,-4.0651e+06,43.534,59.944,8.5472e-14,0.013126,2.2665
0.00085378,0.00061473,-0.003,0.00085378,0.00061473,-0.003,0.72245,0.00085079,0.00061051,-0.003,447.62,338.02,0,0,0,0,1.4687e+07,1.7867e+07,-1.1949e-06,0.020909,1.6312,0,7.0946e+07,71580,11.125,0.73588,-1.0029e-07,6.4872e-08,-2.2571e+06,26.831,31.352,1.1785e-13,0.014952,2.53
0.00094137,0.0007352,-0.003,0.00094137,0.0007352,-0.003,0.67229,0.00093767,0.00073046,-0.003,401.94,342.18,0,0,0,0,1.0632e+07,4.4966e+06,5.1879e-06,0.020003,1.9435,0,6.8685e+07,74847,11.125,0.76,1.8283e-07,-1.3583e-07,1.4267e+06,-12.949,-22.754,2.843e-14,0.017073,2.8441
0.0010436,0.00087494,-0.003,0.0010436,0.00087494,-0.003,0.68484,0.0010393,0.00086938,-0.003,367.68,341.88,0,0,0,0,-3.6911e+06,-1.2445e+07,2.2514e-05,0.019521,3.3004,0,6.9464e+07,74034,11.125,0.75204,1.9977e-07,-1.3947e-07,3.3746e+06,-36.402,-49.541,-9.8812e-14,0.01954,2.9672
0.0011626,0.0010372,-0.003,0.0011626,0.0010372,-0.003,0.75192,0.0011579,0.0010305,-0.003,386.35,336.65,0,0,0,0,-9.857e+06,-1.1486e+07,1.6412e-05,0.021691,6.9214,0,7.2754e+07,69643,11.125,0.71833,-1.1083e-07,7.3342e-08,2.3667e+05,-4.0139,-2.3917,1.1376e-13,0.022407,2.8569
