"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0,7.6279e-05,-3.1803e-05,-0.003,457.23,345.81,0,0,0,0,-5.0737e+07,8.5386e+07,-1.1444e-05,0.19238,20.85,0,5.3285e+07,1.0134e+05,12.922,1.0071,-2.6077e-08,2.4587e-07,1.1042e+07,-201.89,-18.658,6.3335e-13,0.00074082,7.1031
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,453.23,347.37,0,0,0,0,-5.3534e+06,1.0652e+08,2.2888e-05,0.41683,11.248,0,5.4126e+07,1.0396e+05,12.922,1.0247,-5.5879e-09,5.4017e-08,5.1193e+06,-98.09,-26.91,3.5756e-13,0.00055358,6.5818
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.17009,0.00010434,-3.2571e-05,-0.003,459.41,343.72,0,0,0,0,-5.6596e+07,4.1291e+07,-0.00010043,0.13276,26.911,0,5.2072e+07,99300,12.922,0.99742,-2.0489e-08,2.5332e-07,1.5065e+07,-270.34,-22.328,4.5106e-13,0.00099083,7.459
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.25715,0.00013239,-3.1689e-05,-0.003,459.83,341.01,0,0,0,0,-7.638e+07,-9.7376e+06,-6.6146e-05,0.10593,32.39,0,5.2958e+07,96771,12.922,0.9842,-8.1956e-08,4.3213e-07,1.9388e+07,-344.63,-35.525,8.1237e-13,0.0012586,7.8452
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.33612,0.00016036,-2.9108e-05,-0.003,458.95,338.17,0,0,0,0,-9.0661e+07,-5.963e+07,-0.00011747,0.088602,37.341,0,5.4083e+07,93703,12.922,0.96496,-5.5879e-08,3.5763e-07,2.333e+07,-410.11,-60.737,4.6233e-13,0.0015453,8.1044
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.40705,0.00018802,-2.4252e-05,-0.003,457.34,335.67,0,0,0,0,-9.6341e+07,-9.0773e+07,-0.00021482,0.075772,41.472,0,5.5505e+07,90399,12.922,0.93951,3.7253e-09,5.9605e-08,2.6571e+07,-460.55,-98.018,-3.6322e-13,0.0018514,8.2831
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.47029,0.00021529,-1.758e-05,-0.003,455.24,333.45,0,0,0,0,-8.855e+07,-1.0654e+08,-4.6015e-05,0.066072,45.096,0,5.7224e+07,87081,12.922,0.91104,4.7684e-07,-1.0431e-06,2.9398e+07,-500.2,-143.77,-2.1683e-12,0.0021757,8.3767
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.52482,0.00024196,-8.7864e-06,-0.003,452.93,331.62,0,0,0,0,-6.8955e+07,-1.1141e+08,0.00015652,0.058239,48.468,0,5.9026e+07,83986,12.922,0.8829,1.2368e-06,-2.6226e-06,3.1642e+07,-526.77,-192.73,-4.4626e-12,0.002516,8.3942
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.56807,0.00026799,1.7255e-06,-0.003,450.4,330.17,0,0,0,0,-4.6175e+07,-1.0748e+08,7.7009e-05,0.051766,51.895,0,6.068e+07,81405,12.922,0.85911,1.4305e-06,-2.8014e-06,3.3358e+07,-542.45,-239.01,-3.292e-12,0.00287,8.3572
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.60513,0.00029328,1.3914e-05,-0.003,447.61,329.22,0,0,0,0,-2.2698e+07,-1.0541e+08,4.6492e-05,0.045361,54.843,0,6.2275e+07,79119,12.922,0.83795,9.9838e-07,-1.8477e-06,3.4217e+07,-543.33,-276.52,-1.0908e-12,0.0032352,8.2772
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0,0.63228,0.0003178,2.7595e-05,-0.003,444.58,329.43,0,0,0,0,-4.3144e+06,-9.0607e+07,1.5736e-05,0.039365,56.549,0,6.3702e+07,77410,12.922,0.8197,1.5497e-06,-2.4736e-06,3.3788e+07,-524.45,-299.65,-6.6576e-13,0.0036096,8.0987
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0,0.64932,0.00034163,4.2456e-05,-0.003,441.61,330.43,0,0,0,0,2.0764e+06,-6.6205e+07,-9.0003e-06,0.034942,57.23,0,6.482e+07,76324,12.922,0.80549,2.2054e-06,-3.3081e-06,3.2566e+07,-495.43,-310.3,-1.151e-12,0.0039906,7.8429
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0,0.66123,0.00036494,5.8134e-05,-0.003,438.86,331.47,0,0,0,0,-3.4751e+05,-5.1691e+07,-2.2888e-05,0.032136,57.123,0,6.5765e+07,75560,12.922,0.79469,1.5795e-06,-2.2054e-06,3.1274e+07,-467.35,-313.91,-9.6684e-13,0.0043815,7.5792
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0,0.6764,0.00038914,7.533e-05,-0.003,435.98,332.37,0,0,0,0,-3.7502e+05,-4.8154e+07,-1.2219e-05,0.029651,56.231,0,6.6876e+07,74581,12.922,0.78246,1.2666e-06,-1.7285e-06,3.0064e+07,-441.12,-315,1.4389e-13,0.0047979,7.312
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0,0.69062,0.00041527,9.5321e-05,-0.003,433.01,333.3,0,0,0,0,1.2732e+05,-4.7402e+07,3.475e-05,0.027578,54.412,0,6.789e+07,73659,12.922,0.7711,-1.7136e-06,2.1756e-06,2.8493e+07,-411.07,-309.28,-6.6973e-13,0.0052637,7.0004
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0,0.71294,0.00044519,0.00011915,-0.003,429.47,334.51,0,0,0,0,5.2864e+06,-5.7887e+07,-2.8431e-05,0.025199,51.185,0,6.94e+07,72203,12.922,0.75448,-1.2815e-06,1.7881e-06,2.6282e+07,-371.59,-294.57,-4.3019e-13,0.0058033,6.6246
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0,0.73812,0.00047846,0.00014864,-0.003,424.79,336.25,0,0,0,0,1.8152e+07,-5.8315e+07,1.1921e-05,0.022243,45.771,0,7.1211e+07,70552,12.922,0.73429,1.5944e-06,-1.8477e-06,2.2401e+07,-308.11,-260.95,1.2047e-12,0.0064348,5.9096
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0,0.74982,0.00051555,0.00018461,-0.003,420.42,337.83,0,0,0,0,2.7922e+07,-3.9837e+07,6.5923e-05,0.020666,37.564,0,7.2372e+07,69781,12.922,0.72202,-1.3188e-06,1.2219e-06,1.6764e+07,-222.68,-204.08,-9.3895e-13,0.007173,4.6756
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0,0.74625,0.00055617,0.00022883,-0.003,416.95,338.41,0,0,0,0,3.1218e+07,-1.9526e+07,3.7313e-05,0.020235,26.687,0,7.2371e+07,70017,12.922,0.72158,-2.3469e-06,2.2762e-06,1.0928e+07,-139.23,-139.36,-2.1683e-12,0.0080341,2.9884
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0,0.7295,0.00060116,0.0002822,-0.003,412.63,339.09,0,0,0,0,2.5859e+07,-5.2835e+06,-2.8387e-06,0.019846,15.619,0,7.146e+07,71118,12.922,0.73013,-8.1584e-07,7.4133e-07,6.2562e+06,-76.984,-82.913,-9.043e-13,0.0090363,1.7585
0.00065384,0.00034818,-0.003,0.00065384,0.00034818,-0.003,0,0.71385,0.00065206,0.00034539,-0.003,407.27,339.79,0,0,0,0,1.6525e+07,-1.9548e+05,-1.2293e-06,0.019493,7.8376,0,7.0632e+07,72143,12.922,0.73867,-6.9104e-07,5.8301e-07,3.2581e+06,-39.489,-44.033,-5.1828e-13,0.010201,1.7776
0.00071202,0.00042308,-0.003,0.00071202,0.00042308,-0.003,0,0.7014,0.00071009,0.00041975,-0.003,405.65,340.16,0,0,0,0,1.0282e+07,2.9257e+06,3.6247e-06,0.019658,3.9159,0,6.9969e+07,72956,12.922,0.74595,-2.2165e-07,1.9092e-07,1.3319e+06,-16.439,-17.817,-1.789e-13,0.011555,2.1137
0.00077815,0.00051129,-0.003,0.00077815,0.00051129,-0.003,0,0.68565,0.00077586,0.00050745,-0.003,409.93,340.98,0,0,0,0,8.3453e+06,6.296e+06,-8.6464e-06,0.020134,2.2936,0,6.9195e+07,73981,12.922,0.75437,2.6962e-07,-2.1001e-07,2441,-0.8459,0.66534,1.4573e-13,0.013126,2.2665
0.00085378,0.00061473,-0.003,0.00085378,0.00061473,-0.003,0,0.66236,0.00085079,0.00061051,-0.003,408.74,342.69,0,0,0,0,5.7171e+06,8.6432e+06,-5.953e-06,0.020345,1.6632,0,6.8184e+07,75487,12.922,0.76545,4.0047e-08,-3.3062e-08,-3.0777e+05,3.7272,4.2673,5.6024e-14,0.014952,2.53
0.00094137,0.0007352,-0.003,0.00094137,0.0007352,-0.003,0,0.6405,0.00093767,0.00073046,-0.003,395.71,344.93,0,0,0,0,2.8118e+06,6.4613e+06,-5.0375e-06,0.019876,1.2452,0,6.7386e+07,76887,12.922,0.7745,7.3109e-08,-5.4715e-08,3.313e+05,-2.7973,-5.427,1.1923e-14,0.017073,2.8441
