"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0.24776,7.6279e-05,-3.1803e-05,-0.003,490.67,350.24,0,0,0,0,-8.8394e+07,5.4087e+07,-4.5933e-05,0.12368,30.643,0,5.6223e+07,97089,13.935,0.95533,-9.3132e-09,2.3842e-07,1.871e+07,-330.54,-1.789,3.781e-13,0.00074082,7.2932
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,482.66,352.98,0,0,0,0,-6.1745e+07,9.8224e+07,1.391e-05,0.14085,22.155,0,5.6276e+07,1.0177e+05,13.935,0.98751,4.6566e-09,8.9407e-08,1.4741e+07,-245.5,33.376,2.4926e-14,0.00055358,6.7552
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.30418,0.00010434,-3.2571e-05,-0.003,491.93,348.06,0,0,0,0,-7.7456e+07,2.4332e+07,-9.4086e-05,0.097419,36.652,0,5.5055e+07,95027,13.935,0.94419,-2.5146e-08,2.9802e-07,2.1297e+07,-380.9,-17.948,4.4642e-13,0.00099083,7.6611
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.38326,0.00013239,-3.1689e-05,-0.003,491.75,344.93,0,0,0,0,-1.1004e+08,-3.3671e+07,6.8843e-06,0.083382,41.348,0,5.6569e+07,91560,13.935,0.92193,-9.3132e-08,5.6624e-07,2.5186e+07,-447.19,-38.564,9.0514e-13,0.0012586,8.0593
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.45928,0.00016036,-2.9108e-05,-0.003,490.37,341.8,0,0,0,0,-1.1758e+08,-8.0201e+07,2.9802e-05,0.072949,45.348,0,5.8423e+07,87681,13.935,0.89359,-5.2154e-08,3.2783e-07,2.8875e+07,-506.99,-73.117,5.3627e-13,0.0015453,8.3277
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.52842,0.00018802,-2.4252e-05,-0.003,488.35,338.74,0,0,0,0,-1.1436e+08,-1.0634e+08,-1.2279e-05,0.064624,48.974,0,6.0456e+07,83775,13.935,0.86261,1.4901e-08,5.9605e-08,3.2222e+07,-558.25,-119.13,-6.3549e-13,0.0018514,8.5139
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.59192,0.00021529,-1.758e-05,-0.003,485.97,335.94,0,0,0,0,-1.0195e+08,-1.2085e+08,7.4387e-05,0.057697,52.443,0,6.2805e+07,79941,13.935,0.83011,5.7369e-07,-1.2517e-06,3.5173e+07,-598.49,-172.26,-2.5686e-12,0.0021757,8.613
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.64863,0.00024196,-8.7864e-06,-0.003,483.44,333.61,0,0,0,0,-7.8823e+07,-1.2598e+08,0.00017178,0.051645,55.917,0,6.5286e+07,76368,13.935,0.79809,1.4603e-06,-3.2485e-06,3.748e+07,-624.08,-228.23,-4.3112e-12,0.002516,8.6348
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.69429,0.00026799,1.7255e-06,-0.003,481.02,331.79,0,0,0,0,-5.1493e+07,-1.2092e+08,1.6809e-05,0.046359,59.297,0,6.7574e+07,73420,13.935,0.77125,1.6689e-06,-3.2783e-06,3.9186e+07,-637.56,-280.48,-3.8786e-12,0.00287,8.5934
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.73385,0.00029328,1.3914e-05,-0.003,478.43,330.62,0,0,0,0,-2.2573e+07,-1.1765e+08,1.1206e-05,0.040756,61.952,0,6.9759e+07,70832,13.935,0.74772,1.2517e-06,-2.0564e-06,3.9905e+07,-634.54,-321.16,-3.4416e-12,0.0032352,8.5163
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0,0.76109,0.0003178,2.7595e-05,-0.003,475.87,331.18,0,0,0,0,-4.6966e+05,-9.7644e+07,0.00012505,0.035533,63.369,0,7.1683e+07,69039,13.935,0.72806,1.9372e-06,-2.8312e-06,3.9001e+07,-606.38,-344.03,-3.3341e-12,0.0036096,8.3533
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0,0.77619,0.00034163,4.2456e-05,-0.003,473.48,332.89,0,0,0,0,6.9192e+06,-6.8499e+07,0.00012481,0.031544,63.705,0,7.3144e+07,68043,13.935,0.71338,2.6226e-06,-3.7849e-06,3.7116e+07,-565.61,-352.06,-2.837e-12,0.0039906,8.1035
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0,0.7865,0.00036494,5.8134e-05,-0.003,471.42,334.49,0,0,0,0,4.4823e+06,-5.4318e+07,1.3828e-05,0.028901,63.094,0,7.4323e+07,67363,13.935,0.70274,1.7881e-06,-2.5034e-06,3.5099e+07,-526.01,-350.38,-1.0436e-12,0.0043815,7.8483
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0,0.8012,0.00038914,7.533e-05,-0.003,469.27,336.02,0,0,0,0,5.1199e+06,-5.3189e+07,-4.3631e-05,0.026646,61.496,0,7.5799e+07,66392,13.935,0.68991,1.4007e-06,-1.9372e-06,3.3072e+07,-487.29,-343.88,4.4921e-13,0.0047979,7.6049
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0,0.8143,0.00041527,9.5321e-05,-0.003,467.15,337.61,0,0,0,0,4.1987e+06,-5.1435e+07,-3.0577e-05,0.024858,58.748,0,7.7145e+07,65528,13.935,0.67812,-1.8626e-06,2.3544e-06,3.0593e+07,-443.5,-329.41,-6.2918e-13,0.0052637,7.3076
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0,0.83643,0.00044519,0.00011915,-0.003,464.79,339.23,0,0,0,0,7.373e+06,-6.1887e+07,8.1658e-06,0.022896,54.308,0,7.9148e+07,64070,13.935,0.66116,-1.4603e-06,1.9521e-06,2.7355e+07,-389.53,-303.46,3.9119e-13,0.0058033,6.9552
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0,0.86256,0.00047846,0.00014864,-0.003,462.62,340.76,0,0,0,0,2.1942e+07,-5.9008e+07,2.1875e-05,0.020711,47.273,0,8.1487e+07,62353,13.935,0.64126,1.6838e-06,-1.9819e-06,2.2066e+07,-306.78,-253.26,1.622e-12,0.0064348,6.267
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0,0.86735,0.00051555,0.00018461,-0.003,461.27,341.61,0,0,0,0,3.6137e+07,-3.3658e+07,2.861e-05,0.020041,36.883,0,8.2225e+07,62039,13.935,0.63508,-1.2144e-06,1.1995e-06,1.5074e+07,-203.08,-180.32,-1.946e-12,0.007173,5.0095
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0,0.85126,0.00055617,0.00022883,-0.003,457.09,341.73,0,0,0,0,4.0345e+07,-1.3626e+07,1.7524e-05,0.019699,23.436,0,8.1065e+07,63094,13.935,0.64392,-2.183e-06,2.1569e-06,8.2738e+06,-108.28,-102.55,-2.4869e-12,0.0080341,3.2891
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0,0.82737,0.00060116,0.0002822,-0.003,444.98,342.01,0,0,0,0,2.9546e+07,-2.6044e+06,-2.6748e-05,0.018878,11,0,7.9224e+07,64666,13.935,0.65832,-5.886e-07,5.3272e-07,2.8968e+06,-38.899,-35.374,-5.9467e-13,0.0090363,1.8476
